Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,243,14300,786,17554,3208.34,0.412%,1.68848,15.70,0.42,9522.4
TOTAL,243,14300,786,17554,3208.34,0.412%,1.68848,15.70,0.42,9522.4
